Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
649576,3.99065,6.13616,3.95018,3.61514,0.00819867,0.00104682,96,apple,1,23,14
631920,5.06938,7.63961,3.9822,4.39779,0.00819867,0.00104682,130,apple,1,6,16
529615,5.06938,7.666,3.92974,3.19977,0.00787967,0.00104682,130,apple,0,23,16
632010,5.06938,7.63961,3.97002,4.39779,0.00809063,0.00104682,130,apple,1,23,11
649576,3.94589,6.13616,3.94227,3.61514,0.00819867,0.00104682,130,apple,1,25,13
342582,3.99065,7.666,3.97002,2.77816,0.00599567,0.00104682,130,apple,1,3,14
649576,3.99065,7.666,3.94227,3.61514,0.00819867,0.00104682,96,apple,1,25,13
649576,3.99065,7.666,3.97002,2.77816,0.00599567,0.00104682,128,apple,1,23,13
649576,4.48014,6.13616,3.95531,2.75884,0.00819867,0.00104682,96,apple,1,16,16
649576,3.99065,7.666,7.7629,2.77816,0.00819867,0.00104682,130,apple,1,16,16
649576,3.99065,7.70133,3.9822,2.78729,0.00798259,0.00104682,130,predator,1,23,13
409654,5.06938,7.666,3.9822,8.94944,0.00529063,0.00104682,127,apple,1,23,17
649576,3.99065,7.666,3.95018,2.77816,0.00819867,0.00104682,130,apple,1,25,14
649576,4.11302,6.13616,7.7629,2.75884,0.00819867,0.00104682,126,apple,1,16,16
649576,3.95288,7.666,7.7629,2.77816,0.00341699,0.00104682,130,apple,1,16,16
649576,4.02372,6.13616,3.95018,3.61514,0.00819867,0.00104682,96,apple,1,23,14
589562,4.27542,7.69425,3.92974,3.6011,0.00787967,0.00104682,130,scavenger,1,16,11
649576,3.94589,7.666,3.94227,3.61514,0.00819867,0.00104682,130,apple,1,25,27
649576,3.99065,7.666,3.94227,2.77816,0.00819867,0.00104682,96,apple,1,3,16
529615,4.53001,7.666,3.94227,2.77816,0.00787967,0.00104682,130,apple,1,23,16
649576,3.94589,7.63032,3.95018,2.77816,0.00819867,0.00104682,130,apple,1,25,14
649576,3.94589,6.13616,3.94227,3.61514,0.00819867,0.00104682,130,apple,1,25,13
649576,3.99065,7.666,7.7629,2.77816,0.00819867,0.00104682,130,apple,1,16,16
529615,3.94589,7.63032,3.95018,2.77816,0.00809063,0.00104682,130,apple,1,23,25
529615,4.53001,7.666,3.97002,2.4074,0.00599567,0.00104682,130,apple,1,23,13
649576,3.95288,8.61321,7.7629,2.77816,0.00819867,0.00104682,130,apple,1,16,15
649576,3.94589,7.63032,3.94623,3.61514,0.00819867,0.00104682,130,apple,1,25,14
529615,3.94589,7.63032,3.95018,2.77816,0.00809063,0.00104682,130,apple,1,23,14
649576,3.95288,7.666,3.94227,2.77816,0.00803917,0.00104682,130,apple,1,16,16
649576,3.95288,7.666,3.95531,2.77816,0.00341699,0.00104682,130,apple,1,16,16
649576,3.94589,6.13616,3.94227,3.18003,0.00819867,0.00104682,130,apple,1,25,25
649576,4.18828,7.71215,3.97002,2.77816,0.00599567,0.00104682,130,apple,1,25,14
649576,3.95288,7.666,3.94899,8.94944,0.00803917,0.00104682,127,apple,1,23,17
529615,3.94589,7.63032,3.95018,2.77816,0.00809063,0.00104682,130,apple,1,23,14
649576,3.94589,6.13616,3.91652,3.18003,0.00819867,0.00104682,130,apple,1,25,24
649576,3.99065,7.666,7.7629,2.75884,0.00819867,0.00104682,130,apple,1,16,16
649576,4.48014,7.666,3.95531,2.77816,0.00819867,0.00104682,96,apple,1,16,16
529615,3.95288,7.666,3.94227,2.4074,0.00803917,0.00104682,130,apple,1,23,13
649576,4.18828,7.71215,7.7629,2.77816,0.00599567,0.00104682,130,apple,1,16,14
632010,5.06938,7.666,3.97002,4.39779,0.00809063,0.00104682,130,apple,1,23,12
