Lifespan,Hunger,Thirst,Fatigue,Mate,Comfort Inc,Comf Dec,Sight Range,     Diet,If Flocks,Flee,Pursue
640065,3.65928,7.50893,3.11462,2.75093,0.00937189,0.00104682,106,predator,1,15,11
640065,3.65928,4.60109,0.186711,2.72696,0.00790425,0.00104682,89,apple,0,29,11
770798,3.63994,3.60134,5.82459,1.11729,0.00993204,0.00104682,192,predator,1,16,11
645823,3.65928,7.50893,4.67003,2.33567,0.0179379,0.00104682,89,apple,1,30,19
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,16
770027,3.65928,5.55611,5.83054,1.92212,0.00937189,0.00104682,99,apple,1,22,11
666096,3.65928,7.50893,5.83054,2.72696,0.0179379,0.00104682,89,apple,1,30,19
770798,3.65928,3.60134,5.83054,2.72696,0.00993204,0.00104682,106,apple,1,16,13
666096,3.65928,7.50893,5.83054,2.72696,0.0179379,0.00104682,89,apple,1,29,11
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,16
770798,3.63994,5.55611,5.83054,1.49821,0.00937189,0.00104682,99,apple,1,16,11
666096,3.61458,4.60109,0.186711,2.33567,0.00801543,0.00177799,89,predator,0,30,14
770798,3.65928,3.60134,5.83054,2.72696,0.00993204,0.00104682,106,apple,1,16,16
666096,3.65928,3.60134,5.83054,2.72696,0.0179379,0.00104682,92,apple,1,14,11
770798,3.65928,7.50893,0.186711,1.90082,0.0179379,0.00104682,137,apple,0,29,11
770798,3.65928,3.60134,5.83054,2.72696,0.00993204,0.00104682,106,apple,1,16,15
666514,3.66093,7.50893,5.83054,2.33567,0.0174479,0.00104682,134,apple,1,14,19
666096,3.63296,3.60134,5.83054,2.33567,0.0179379,0.00104682,89,apple,1,14,12
769814,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,106,apple,1,16,10
771678,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,89,apple,1,16,11
771678,3.65928,3.60134,5.83054,2.72696,0.0179379,0.00104682,92,apple,1,14,11
770798,3.65928,3.60134,5.83054,2.72696,0.00937189,0.00104682,106,apple,1,16,15
770798,3.65928,7.50893,5.83054,2.33567,0.00993204,0.00109254,89,apple,1,30,20
640065,3.63874,4.60109,0.186711,2.72696,0.0174479,0.00104682,115,apple,1,14,19
771678,3.65928,3.56596,5.83054,2.72696,0.0179379,0.00104682,92,apple,1,14,11
666096,3.65928,3.60134,5.83054,2.33567,0.00937189,0.00104682,89,apple,1,16,18
