Time,Date,Population,Food Ate,Births,Old Age,Starved,Dehydrated,Discomfort,Predator
00:00,1-1-100,200,0,0,0,0,0,0,0
00:00,15-1-101,45,219,12,0,1,0,10,0
00:00,16-1-101,45,242,12,0,2,0,10,0
00:00,17-1-101,40,193,8,0,1,0,13,0
00:00,18-1-101,32,206,9,0,0,0,17,0
00:00,19-1-101,44,248,14,0,0,0,2,0
00:00,20-1-101,37,244,10,0,1,0,15,0
00:00,21-1-101,41,237,11,0,0,0,7,0
00:00,22-1-101,37,201,7,0,0,0,11,0
00:00,23-1-101,42,222,12,0,0,0,6,0
00:00,24-1-101,47,241,15,0,0,0,10,0
00:00,25-1-101,45,209,8,0,0,0,10,0
00:00,26-1-101,42,215,7,0,0,0,10,0
00:00,27-1-101,46,258,10,0,0,0,5,0
00:00,28-1-101,49,259,12,0,1,0,8,0
00:00,29-1-101,48,221,11,0,0,0,11,0
00:00,30-1-101,39,229,7,0,1,0,15,0
00:00,31-1-101,45,242,11,0,1,0,4,0
00:00,1-2-101,48,256,12,0,0,0,9,0
00:00,2-2-101,45,229,12,0,0,0,15,0
00:00,3-2-101,37,178,8,0,2,0,15,0
00:00,4-2-101,45,261,11,0,0,0,3,0
00:00,5-2-101,49,237,11,0,0,0,7,0
00:00,6-2-101,43,224,10,0,0,0,16,0
00:00,7-2-101,48,218,12,0,1,0,6,0
00:00,8-2-101,51,237,9,0,0,0,6,0
00:00,9-2-101,53,252,13,0,0,0,11,0
00:00,10-2-101,45,216,8,0,0,0,16,0
00:00,11-2-101,44,227,11,0,1,0,10,0
00:00,12-2-101,43,231,13,0,1,0,13,0
00:00,13-2-101,42,211,9,0,0,0,10,0
00:00,14-2-101,47,220,13,0,1,0,7,0
00:00,15-2-101,43,197,9,0,1,0,11,0
00:00,16-2-101,48,243,14,0,1,0,8,0
00:00,17-2-101,48,194,11,0,1,0,10,0
00:00,18-2-101,42,194,6,0,0,0,12,0
00:00,19-2-101,50,207,14,0,1,0,5,0
00:00,20-2-101,53,295,15,0,0,0,12,0
00:00,21-2-101,49,238,12,0,1,0,15,0
00:00,22-2-101,46,202,8,0,1,0,10,0
00:00,23-2-101,46,208,8,0,0,0,8,1
00:00,24-2-101,50,186,13,0,0,0,8,0
00:00,25-2-101,48,221,14,0,0,0,17,0
00:00,26-2-101,47,223,14,0,0,0,14,1
00:00,27-2-101,54,251,14,0,0,0,7,0
00:00,28-2-101,35,157,9,0,0,0,29,0
00:00,1-3-101,33,119,6,0,1,0,7,0
00:00,2-3-101,39,196,11,0,1,0,4,0
00:00,3-3-101,43,224,14,0,1,0,8,0
00:00,4-3-101,39,242,11,0,1,0,14,0
00:00,5-3-101,50,237,15,0,0,0,4,0
00:00,6-3-101,49,226,14,0,2,0,12,1
00:00,7-3-101,53,243,14,0,1,0,9,0
00:00,8-3-101,44,216,11,0,4,0,16,0
00:00,9-3-101,46,248,13,0,0,0,11,0
00:00,10-3-101,44,195,11,0,0,0,13,0
00:00,11-3-101,42,204,10,0,1,0,11,0
00:00,12-3-101,44,204,10,0,1,1,7,0
00:00,13-3-101,46,230,13,0,1,0,10,0
00:00,14-3-101,52,272,16,0,1,0,10,0
00:00,15-3-101,46,216,12,0,0,0,18,0
00:00,16-3-101,44,86,4,0,0,0,6,1
00:00,17-3-101,39,199,10,0,2,0,13,0
00:00,18-3-101,46,87,5,0,0,1,2,0
00:00,19-3-101,43,9,0,0,0,0,1,0
00:00,20-3-101,40,20,2,0,0,0,1,0
00:00,21-3-101,37,132,6,0,0,0,10,0
00:00,22-3-101,46,225,14,0,0,0,4,0
00:00,23-3-101,40,221,13,0,2,1,16,0
00:00,24-3-101,54,108,8,0,0,1,1,0
